"","GSM490136","GSM490137"
"ENSG00000005194",7.73512924091775,7.48028591389514
"ENSG00000005243",6.28036560624694,6.22883207010355
"ENSG00000005302",6.78251580745219,6.67186335650395
"ENSG00000005339",9.20391893124464,9.27153920699551
"ENSG00000005469",6.93777905111095,7.34677099915539
"ENSG00000005483",6.82320779145314,6.52260343007212
"ENSG00000005486",10.8099875570415,10.4997687021437
"ENSG00000005513",6.17031017934912,6.15540828082656
"ENSG00000005801",6.66363085730657,6.74923506005339
"ENSG00000005810",8.78208445581556,8.69399121990852
"ENSG00000005844",6.10988799969315,6.16634889336474
"ENSG00000005882",6.16691035234278,6.12410794126875
"ENSG00000005889",7.40211827348232,7.17029661084888
"ENSG00000005893",7.19720423237046,7.09814142294711
"ENSG00000006007",7.71714298660767,7.50661179756147
"ENSG00000006016",6.69510934629274,6.54622363350139
"ENSG00000006025",6.18027371223769,6.25593967269822
"ENSG00000006125",7.03334509286792,6.79975371033713
"ENSG00000006327",9.73189893441203,9.89193287520702
"ENSG00000006432",6.50016192680926,6.55381641711911
"ENSG00000006453",7.87891480503105,8.60225596005855
"ENSG00000006576",7.71045021601641,7.88236489851977
"ENSG00000006606",6.0156565764609,6.04454865245839
"ENSG00000006607",6.09694586082314,6.11101822142814
"ENSG00000006625",7.25825998351834,6.98168056059028
"ENSG00000006638",6.08128397354253,6.03993562733471
"ENSG00000006652",9.21906075804651,9.12858464360524
"ENSG00000006659",12.6120080207585,12.1479108437112
"ENSG00000006695",6.56754879530847,6.39481675957436
"ENSG00000006704",6.027945334392,6.03538573985704
"ENSG00000006712",9.14071139416862,9.09653077633682
"ENSG00000006715",8.03085027807249,8.35243561938241
"ENSG00000006740",6.2872583333265,6.20541752611025
"ENSG00000006747",9.50063951631341,9.19993750968784
"ENSG00000007062",9.97835372090148,10.0111294414583
"ENSG00000007168",10.0315131037243,9.9845481008652
"ENSG00000007202",9.41684814940877,9.62702052076212
"ENSG00000007312",6.28940178870185,6.21056170091861
"ENSG00000007376",6.3134511391207,6.22278877017016
"ENSG00000007392",6.92783106542293,7.07551229216145
"ENSG00000007520",6.7707650352779,6.68086819637719
"ENSG00000007866",8.76872289650514,9.11078221443814
"ENSG00000007944",12.2214311027942,12.3615666157179
"ENSG00000008018",12.7253895924928,12.6230695246548
"ENSG00000008128",6.06216831247925,6.12149213001388
"ENSG00000008256",7.02092537717549,7.51430815348457
"ENSG00000008282",9.75852618771084,9.56214019785966
"ENSG00000008294",8.32522395119251,8.05001290228221
"ENSG00000008324",9.74380573316929,9.59483362554599
"ENSG00000008394",6.01736885978593,6.05529029592251
"ENSG00000008405",8.83499047097986,8.5152450885673
"ENSG00000008438",6.21091477557794,6.00707015002962
"ENSG00000008441",7.48809844251042,7.42427434146983
"ENSG00000008513",10.8560807917341,11.0489071106588
"ENSG00000008516",6.50535279593947,6.43029675508215
"ENSG00000008710",6.43488505573938,6.49416255975606
"ENSG00000008735",6.24170027967204,6.18869730356887
"ENSG00000008838",7.57030250282834,7.70268226633244
"ENSG00000008952",6.82025695415959,6.79094634547007
"ENSG00000009307",6.22498069195972,6.13994319408322
