"";"GSM1784988";"GSM1784990";"GSM1784993";"GSM1784994";"GSM1784996";"GSM1785001";"GSM1785004";"GSM1785005";"GSM1785008";"GSM1785009";"GSM1785011";"GSM1785012";"GSM1785013";"GSM1785021";"GSM1785022";"GSM1785028";"GSM1785035";"GSM1785038";"GSM1785039";"GSM1785041";"GSM1785042";"GSM1785053";"GSM490136";"GSM490137"
"ENSG00000002549";5,18903036779707;5,324974356115;5,0018530061531;5,02536161656359;5,27622033801871;4,87833757500485;5,23408619527727;5,05832831353735;5,05923567079072;5,14617980295754;5,26655357744667;5,22104557491099;4,97432856849528;5,14789058347017;5,19917890558657;5,04602200454524;5,30994875112632;5,50164893436022;5,13556771527714;5,13286860878932;5,15285523666897;5,3201768766913;9,24583998862045;8,91903561591442
"ENSG00000002586";7,00006029368133;6,72779240171927;6,65255058466791;6,91385395703519;7,05708081765981;7,2235931360941;6,73062931334569;6,99557899506189;6,80714547486445;7,42855616794844;7,06728622339279;7,18598555584443;6,56189448124038;6,9176478904693;6,86360748309939;7,20099781550309;6,84958705735459;7,10901851489699;6,9824924424585;6,60353423991753;6,70400866278469;7,33434218636049;9,7679690349795;10,0676454834109
"ENSG00000002726";7,88644006882839;6,61974015629038;8,02284369187118;7,18289426202819;8,53388266245794;7,26621514366711;6,84683699646243;7,20454906715058;8,66187753798774;7,38405528589937;7,64401061649918;7,18343274700673;7,08850720768823;7,05578589282466;7,44127245630303;6,9323628840912;8,44127683174499;8,03138071804369;7,76339050210225;8,0608597164609;7,69245262436694;7,5846531800403;11,1165941583041;11,6164987774018
"ENSG00000002834";4,93054912054671;5,1565597067622;5,23066002229704;4,89609810683545;4,82759487371401;5,17004195913919;4,71877278412947;4,93896453929164;5,02798089845515;5,07123988454245;5,14436132307614;5,11447049229887;4,89608426629832;5,47709604680115;4,74556630529922;5,01186178522468;5,20421738516789;4,91447021794014;5,15992723340781;4,93422654682284;5,37378693010289;5,020796617115;11,9926043586726;11,8326982089174
"ENSG00000003056";6,56111549692523;6,57047421829619;6,22049889996696;6,64006525552101;6,54957059056095;6,38801500942655;6,43679097410743;6,82304254660836;6,95246944529102;6,70348666462491;6,75363119550201;6,505204406635;6,42801897927023;6,30740990815948;6,59748122617185;6,42049285698827;6,59989861451725;6,51072897323227;6,54579275453566;6,72495156615594;6,50778629790443;6,60353666425512;8,8698215546679;8,9139762866174
"ENSG00000003137";5,8829716414486;5,79613222321058;5,98950188707809;5,76174921189458;5,94757073476374;6,0001957770254;5,83109202133925;5,91632974118702;5,88801030036156;5,82695255093509;5,85322470809918;5,70496537754387;5,99790021160823;5,93857065306598;5,98788815137819;5,83927810327058;5,97491438661107;5,97127782673173;5,76814467152761;5,91924441562267;5,82001149220753;5,89284787148851;7,53374127441332;8,13443990643686
"ENSG00000003147";4,22487495454966;4,34967454316526;4,63718484880001;4,40279527625385;4,29217959245617;4,53534199488888;4,66792960651146;4,31268469828785;4,37476619022364;4,21921118250224;4,3531872972034;4,41216693299018;4,2230174204038;4,36047255819046;4,49668553848693;4,49551523830162;4,41351849874831;4,39609463542827;4,32762977628219;4,35847590348818;4,29669124570129;4,29403622654072;8,94878737269477;9,14071139416862
"ENSG00000003393";4,38183855008896;4,41720937216925;4,2139155366254;4,41720933805375;4,22704590432625;4,50183401194553;4,53895557344226;4,49142977088677;4,23827433351077;4,22639217858073;4,19537993553771;4,20911756402481;4,42869187623973;4,61315070142355;4,20907310522692;4,22811607351955;4,58573201198064;4,40932181586414;4,20202824873769;4,33108466392016;4,23683498707029;4,30988450864137;8,25019548772738;8,12125432273535
"ENSG00000003402";3,48916194160839;3,7548520633541;3,82410913007378;3,85009713425126;3,52982295378223;3,99606825595889;3,28126500737986;3,37122414260641;3,4297306514817;3,71942253944519;3,35736125328383;3,42881081509595;4,10171539910777;3,39910792161314;3,40080484310892;2,95976231871895;3,3818059117097;3,36900607485053;3,10143542310927;2,7606617037964;3,56350357085718;3,56599454335031;10,5936199126417;10,4942721231468
"ENSG00000003436";9,90669159125483;9,55456189871792;10,2906486715941;9,94013121334483;10,0609596862748;8,8287323377656;9,51974439449227;10,095696735527;10,0836474521874;9,63765912294764;10,2653661692661;9,41711657935708;8,29704414063385;9,05911468997266;9,84980597764784;9,22496307410199;8,7498069991927;9,57277504258755;9,68939945821434;9,71177763429158;9,830823246678;9,61921074462893;11,671690340914;11,4867025757344
